Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,447.318664550781,NaN,439.8743,59.0882,7,117.5,False
2,2003.28137207031,NaN,1975.101,70.08801,8,281,False
3,1655.50708007813,NaN,1634.725,78.66075,8,281,False
4,483.157836914063,NaN,475.617,63.07214,7,117.5,False
5,447.701049804688,76.9807830816135,440.0637,57.62009,7,117.5,False
6,554.891906738281,NaN,547.9398,78.81595,8,281,False
7,555.11767578125,NaN,548.0798,77.87613,8,281,False
8,554.078369140625,NaN,547.2073,79.63995,8,281,False
9,555.6865234375,129.262843758985,548.9444,81.41986,8,281,False
10,554.300354003906,NaN,547.2579,77.70825,8,281,False
11,555.121643066406,NaN,548.0167,77.13208,8,281,False
12,554.131225585938,NaN,547.2008,78.95612,8,281,False
13,554.122253417969,139.913388521969,547.2439,79.56,8,281,False
14,551.919677734375,NaN,544.986,78.59991,8,281,False
15,554.405944824219,NaN,547.502,79.30298,8,281,False
16,554.976623535156,NaN,547.9761,78.27612,8,281,False
17,554.722045898438,110.71157874139,547.8414,79.62024,8,281,False
18,2200.10009765625,NaN,2177.101,94.6582,8,281,False
19,551.943725585938,NaN,544.8917,77.2677,8,281,False
20,595.925231933594,NaN,587.6983,71.43616,8,191,False
21,594.949035644531,NaN,586.8821,72.75171,8,191,False
22,595.873962402344,NaN,587.7086,71.97607,8,191,False
23,595.976806640625,162.583555965684,587.6913,70.92981,8,191,False
24,595.892395019531,NaN,587.6808,71.56775,8,191,False
25,595.276123046875,104.737809884548,587.0605,71.45642,8,191,False
26,595.638977050781,NaN,587.3232,70.62805,8,191,False
27,595.644287109375,NaN,587.3879,71.1438,8,191,False
28,595.844177246094,NaN,587.5603,70.92822,8,191,False
29,594.854675292969,NaN,586.9561,74.31201,8,191,False
30,596.53173828125,NaN,588.1868,70.48389,8,191,False
