Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,484.963562011719,NaN,477.4987,63.96589,7,153.5,False
2,484.922729492188,NaN,476.465,56.33496,8,136.5,False
3,485.546875,NaN,477.6882,60.78488,7,153.5,False
4,521.294128417969,NaN,513.856,69.08415,7,153.5,False
5,484.769989013672,NaN,476.4648,57.36972,8,136.5,False
6,484.509796142578,167.725588358566,475.6613,53.7562,8,136.5,False
7,484.963653564453,NaN,476.4527,55.98108,8,136.5,False
8,484.825317382813,NaN,476.4478,56.87234,8,136.5,False
9,484.489349365234,NaN,476.0199,56.2041,8,136.5,False
10,484.361785888672,NaN,475.8927,56.19189,8,136.5,False
11,484.746002197266,NaN,476.475,57.60797,8,136.5,False
12,3498.77075195313,NaN,3413.101,39.83997,8,264,False
13,484.882385253906,NaN,476.4531,56.5238,8,136.5,False
14,484.888153076172,112.414389795065,476.4771,56.64862,8,136.5,False
15,484.871368408203,NaN,476.4721,56.72803,8,136.5,False
16,484.575408935547,NaN,475.6859,53.51068,8,136.5,False
17,484.589019775391,NaN,476.4698,58.68396,8,136.5,False
18,484.562713623047,NaN,475.6619,53.44006,8,136.5,False
19,484.859802246094,NaN,476.3833,56.2002,8,136.5,False
20,484.642333984375,71.6848939932883,476.4672,58.28259,8,136.5,False
21,484.564331054688,NaN,475.6724,53.49463,8,136.5,False
22,484.515777587891,63.0860376879573,475.6693,53.76929,8,136.5,False
23,484.675262451172,NaN,476.4576,57.97986,8,136.5,False
24,484.568359375,NaN,475.6759,53.49194,8,136.5,False
25,525.271728515625,NaN,516.6556,59.96375,7,214.5,False
26,1289.64758300781,NaN,1270.898,67.78394,8,281,False
27,1244.36376953125,NaN,1227.559,73.04785,8,281,False
28,559.967102050781,NaN,551.5933,65.87158,7,214.5,False
29,2178.53295898438,NaN,2143.598,61.35986,8,281,False
30,2171.42578125,NaN,2139.053,66.07593,8,281,False
