Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;-654.358947753906;NaN;3.034185;4.99978;7;94;False
2;-654.403930664063;NaN;2.997249;5.005066;7;94;False
3;-513.536193847656;NaN;220.2555;46.78009;7;105.5;False
4;-513.466857910156;-1877.66109924316;220.2962;46.50552;7;105.5;False
5;-513.464538574219;NaN;220.3002;46.52295;7;105.5;False
6;-512.5322265625;NaN;0.3860593;4.72403;6;85.5;False
7;-512.635314941406;NaN;0.3039296;5.000244;6;85.5;False
8;-512.628845214844;NaN;0.309227;4.992218;6;85.5;False
9;-512.635437011719;NaN;0.3039266;5.010498;6;85.5;False
10;-512.635314941406;NaN;0.3039267;5.003845;6;85.5;False
11;-512.635314941406;-1887.91041870117;0.3039281;5.000122;6;85.5;False
12;-512.629028320313;NaN;0.309229;5.00769;6;85.5;False
13;-399.341461181641;NaN;236.2728;28.17572;7;92;False
14;-399.263916015625;NaN;236.341;28.15222;7;92;False
15;-399.101013183594;NaN;236.5121;28.20013;7;92;False
16;-399.059631347656;NaN;236.5554;28.21198;7;92;False
17;-399.092895507813;-1870.18973693848;236.5246;28.21631;7;92;False
18;-399.083129882813;NaN;236.5338;28.21576;7;92;False
19;-399.333221435547;-1768.83501281738;236.2718;28.14429;7;92;False
20;-399.274719238281;NaN;236.3281;28.14386;7;92;False
21;-399.259460449219;NaN;236.3451;28.15149;7;92;False
22;203.005249023438;NaN;2429.559;113.2838;8;281;False
23;183.167053222656;NaN;2411.409;122.048;8;281;False
24;-399.142852783203;NaN;236.4785;28.224;7;92;False
25;-399.252716064453;-1386.12861785889;236.3518;28.15234;7;92;False
26;-399.242309570313;NaN;236.3687;28.1759;7;92;False
27;-399.234344482422;NaN;236.3742;28.16833;7;92;False
28;-399.313415527344;NaN;236.3035;28.18811;7;92;False
29;-399.400146484375;NaN;236.2013;28.12415;7;92;False
30;-399.061645507813;NaN;236.557;28.22424;7;92;False
