Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;125.441589355469;NaN;227.9435;28.49979;7;110.5;False
2;125.356468200684;NaN;227.8078;28.30379;7;110.5;False
3;125.411026000977;-175.838190746307;227.8901;28.41196;7;110.5;False
4;125.408432006836;NaN;227.8459;28.26001;7;110.5;False
5;125.21150970459;-148.280765199661;227.7061;28.44398;7;110.5;False
6;125.412483215332;NaN;227.9057;28.46408;7;110.5;False
7;124.044403076172;NaN;219.4336;53.38004;5;99.5;False
8;125.588859558105;NaN;228.064;28.41974;7;110.5;False
9;2586.01733398438;NaN;2837.069;94.73297;8;281;False
10;2584.654296875;NaN;2836.387;96.91278;8;281;False
11;701.888122558594;NaN;966.522;59.05615;8;281;False
12;130.279083251953;NaN;227.3788;27.06787;8;105.5;False
13;130.145782470703;NaN;227.2513;27.07159;8;105.5;False
14;1814.90124511719;NaN;2077.696;114.1278;8;281;False
15;130.045623779297;NaN;227.1461;27.04291;8;105.5;False
16;130.336822509766;NaN;227.4416;27.09186;8;105.5;False
17;130.466278076172;NaN;227.5671;27.09399;8;105.5;False
18;130.201843261719;NaN;227.2981;27.04712;8;105.5;False
19;133.897109985352;NaN;230.7546;26.69983;8;105.5;False
20;134.005859375;NaN;230.8738;26.74622;8;105.5;False
21;133.848785400391;NaN;230.7105;26.70801;8;105.5;False
22;134.028030395508;NaN;230.8868;26.71924;8;105.5;False
23;134.020797729492;NaN;230.8838;26.73181;8;105.5;False
24;134.009323120117;NaN;230.8717;26.72864;8;105.5;False
25;134.004547119141;NaN;230.8892;26.7998;8;105.5;False
26;133.855773925781;NaN;230.7204;26.7179;8;105.5;False
27;1440.80261230469;NaN;1703.761;94.43713;8;281;False
28;1399.35717773438;NaN;1664.034;101.941;8;281;False
29;133.790328979492;NaN;230.6459;26.68152;8;105.5;False
30;134.010879516602;NaN;230.8693;26.71619;8;105.5;False
