Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;241.641250610352;96.6988699238747;233.3546;28.16024;6;153.5;False
2;241.556671142578;NaN;233.2568;28.10361;6;153.5;False
3;251.534515380859;NaN;243.5055;30.32833;8;247;False
4;251.686004638672;NaN;243.6612;30.36353;8;247;False
5;251.524948120117;NaN;243.5013;30.34784;8;247;False
6;251.591918945313;NaN;243.5641;30.34016;8;247;False
7;251.901840209961;NaN;243.9181;30.5517;8;247;False
8;252.293411254883;NaN;244.2654;30.42682;8;247;False
9;252.320724487305;NaN;244.2959;30.44232;8;247;False
10;252.267227172852;NaN;244.2425;30.43619;8;247;False
11;252.410659790039;NaN;244.9861;32.99689;8;201;False
12;252.570159912109;NaN;245.1687;33.12415;8;201;False
13;252.544830322266;NaN;245.1431;33.11987;8;201;False
14;252.616973876953;NaN;245.2184;33.14417;8;201;False
15;252.410720825195;NaN;244.9895;33.01184;8;201;False
16;252.346710205078;NaN;244.9143;32.95221;8;201;False
17;252.529022216797;NaN;245.1227;33.09637;8;201;False
18;252.636383056641;NaN;245.2442;33.17609;8;201;False
19;252.416046142578;NaN;244.9764;32.92841;8;201;False
20;252.644180297852;48.9722642682493;245.2501;33.16827;8;201;False
21;252.609130859375;NaN;244.5776;30.45227;8;247;False
22;252.600112915039;NaN;244.5659;30.44043;8;247;False
23;252.302871704102;NaN;244.8711;32.9491;8;201;False
24;252.523864746094;NaN;245.1224;33.11804;8;201;False
25;252.609664916992;NaN;244.5786;30.45386;8;247;False
26;252.435821533203;NaN;245.0076;32.98322;8;201;False
27;252.460983276367;NaN;244.4319;30.44324;8;247;False
28;254.802734375;NaN;247.3324;33.10864;8;200.5;False
29;254.816101074219;NaN;247.3426;33.09595;8;200.5;False
30;254.750579833984;NaN;247.2667;33.04004;8;200.5;False
