Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,420.355621337891,NaN,412.0951,49.88699,8,134.5,False
2,417.294281005859,106.957893156819,409.1382,50.16376,8,134.5,False
3,438.720855712891,109.782808583044,431.4293,59.16808,8,134.5,False
4,439.164947509766,145.429746548645,432.2214,62.24792,8,134.5,False
5,534.16357421875,NaN,494.7366,12.54816,8,281,False
6,449.196746826172,NaN,440.9847,53.70007,8,134.5,False
7,438.755279541016,107.666540412139,431.4713,59.23599,8,134.5,False
8,441.542541503906,85.270447467966,434.5561,62.19965,8,134.5,False
9,449.009643554688,NaN,440.9991,55.05215,8,135.5,False
10,449.050872802734,106.857441706955,440.9364,54.33966,8,134.5,False
11,450.756408691406,NaN,441.6699,48.60699,8,126,False
12,450.776977539063,NaN,441.6283,48.27234,8,126,False
13,521.17333984375,NaN,513.9612,71.26361,7,175.5,False
14,520.582702636719,NaN,513.6175,73.74036,7,175.5,False
15,482.999145507813,NaN,476.2496,70.55981,8,280.5,False
16,594.503173828125,120.526485820301,585.4073,64.35986,8,197.5,False
17,557.247741699219,164.606491833925,547.9086,58.66797,8,197.5,False
18,594.17919921875,NaN,584.9819,63.60376,8,197.5,False
19,630.799255371094,NaN,621.9736,70.47327,8,197.5,False
20,632.619384765625,NaN,623.2009,66.1676,8,197.5,False
21,665.1845703125,NaN,656,71.42407,8,197.5,True
22,633.824829101563,NaN,624.8862,69.90833,8,197.5,True
23,596.849304199219,NaN,587.6153,63.63586,8,197.5,True
24,557.173217773438,NaN,548.2213,61.24036,8,197.5,True
25,633.919738769531,NaN,624.8534,68.91992,8,197.5,True
26,665.261901855469,NaN,656,70.82788,8,197.5,True
27,664.9853515625,NaN,656,73.00757,8,197.5,True
28,665.062316894531,NaN,656,72.38782,8,197.5,True
29,664.952941894531,NaN,656,73.27197,8,197.5,True
30,664.963256835938,NaN,656,73.18774,8,197.5,True
