Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,343.007568359375,NaN,334.2451,38.14528,8,108.5,False
2,1476.62817382813,NaN,1451.01,56.64027,8,281,False
3,1458.24328613281,NaN,1434.743,61.05237,8,281,False
4,345.374664306641,NaN,336.8931,39.72046,6,120.5,False
5,320.193634033203,NaN,311.992,38.04022,6,120.5,False
6,316.219421386719,NaN,307.8058,36.58406,6,120.5,False
7,318.744079589844,NaN,310.427,37.32388,6,120.5,False
8,411.536987304688,NaN,392.9625,21.15601,8,263.5,False
9,630.525817871094,143.065539519861,623.3398,86.74408,6,120.5,False
10,443.052978515625,NaN,438.6234,99.02014,8,188,False
11,630.580627441406,NaN,623.2997,85.60803,6,120.5,False
12,558.634948730469,NaN,550.2436,65.57263,8,207.5,False
13,522.026184082031,NaN,513.6448,61.28369,8,207.5,False
14,600.298278808594,NaN,591.6699,68.57227,8,259,False
15,601.634765625,NaN,593.1529,69.93195,8,259,False
16,563.065063476563,NaN,554.0144,61.2124,8,259,False
17,527.849609375,NaN,518.9055,58.01636,8,259,False
18,558.308898925781,NaN,549.4547,62.05591,8,259,False
19,525.807250976563,NaN,516.6494,56.41614,8,259,False
20,516.990905761719,NaN,507.8426,55.51208,8,259,False
21,601.689392089844,NaN,593.0389,68.55603,8,259,False
22,637.490844726563,NaN,629.2065,75.9519,8,259,False
23,637.657043457031,NaN,629.4314,76.52063,8,259,False
24,526.170104980469,NaN,516.9623,56.14392,8,259,False
25,601.331420898438,NaN,592.6717,68.43994,8,259,False
26,639.4443359375,NaN,630.8978,73.81885,8,259,False
27,527.567626953125,NaN,518.5253,57.34424,8,259,False
28,553.86279296875,NaN,544.7256,59.61609,8,259,False
29,526.184753417969,NaN,517.0408,56.54443,8,259,False
30,637.960998535156,NaN,629.3571,73.14783,8,259,False
