Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;141.039367675781;NaN;224.0368;49.75755;8;87.5;False
2;141.03727722168;NaN;224.0079;49.45638;8;87.5;False
3;141.776031494141;NaN;224.7464;49.61687;8;87.5;False
4;141.767532348633;NaN;224.744;49.68373;8;87.5;False
5;141.75602722168;NaN;224.7332;49.68871;8;87.5;False
6;141.767166137695;NaN;224.7373;49.61194;8;87.5;False
7;141.750946044922;NaN;224.7293;49.70056;8;87.5;False
8;141.752517700195;NaN;224.7304;49.69608;8;87.5;False
9;141.755584716797;-154.837213993073;224.7327;49.68768;8;87.5;False
10;141.755447387695;NaN;224.7262;49.61615;8;87.5;False
11;141.088806152344;-179.426941370964;224.0522;49.38812;8;87.5;False
12;141.751922607422;NaN;224.7298;49.6958;8;87.5;False
13;141.755783081055;NaN;224.734;49.69995;8;87.5;False
14;141.75471496582;-191.738092803955;224.7329;49.70007;8;87.5;False
15;141.766616821289;NaN;224.7364;49.60785;8;87.5;False
16;141.734970092773;NaN;224.7157;49.72382;8;87.5;False
17;174.791595458984;NaN;436.2844;24.92029;8;279;False
18;141.759613037109;NaN;224.7303;49.61658;8;87.5;False
19;141.037826538086;NaN;224.0077;49.44849;8;87.5;False
20;141.033798217773;NaN;224.0075;49.48975;8;87.5;False
21;141.754669189453;NaN;224.7329;49.70044;8;87.5;False
22;1770.7724609375;NaN;1954.735;21.83154;8;273.5;False
23;989.732421875;-147.320608139038;1183.078;14.76001;8;273.5;False
24;141.091003417969;NaN;224.0602;49.45215;8;87.5;False
25;141.755004882813;NaN;224.7332;49.7002;8;87.5;False
26;141.734680175781;-166.427499389648;224.7172;49.74402;8;87.5;False
27;141.7548828125;NaN;224.7324;49.69202;8;87.5;False
28;141.043365478516;NaN;224.0098;49.41187;8;87.5;False
29;141.764144897461;NaN;224.7411;49.68823;8;87.5;False
30;141.762664794922;NaN;224.7407;49.7002;8;87.5;False
