Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,450,756042480469,NaN,442,656,54,64889,6,118,5,False
2,3160,68041992188,256,043786850572,3104,011,54,7738,8,281,False
3,663,289245605469,NaN,656,89,99568,8,179,True
4,314,965301513672,NaN,306,2628,35,19247,8,281,False
5,344,943756103516,NaN,336,6683,40,6828,8,184,5,False
6,304,656219482422,NaN,297,2865,40,33868,8,281,False
7,557,347717285156,NaN,549,2258,67,62256,8,161,5,False
8,237,837799072266,NaN,230,8544,33,05737,7,194,5,False
9,480,031158447266,NaN,473,9317,77,70081,8,239,False
10,3417,07348632813,NaN,3365,412,65,14386,8,281,False
11,304,126190185547,NaN,295,9484,36,18909,8,208,5,False
12,450,278839111328,NaN,443,3681,64,15662,8,281,False
13,270,536041259766,NaN,261,9205,30,40088,8,208,5,False
14,2312,23754882813,NaN,2275,87,62,58014,8,281,False
15,232,815353393555,30,810304325819,227,4188,42,14166,8,276,5,False
16,347,463745117188,NaN,338,1365,36,25256,8,184,False
17,206,204635620117,NaN,199,3209,28,95532,7,182,False
18,308,429351806641,NaN,300,3528,37,18829,8,252,False
19,447,878082275391,NaN,443,8617,110,5133,7,182,False
20,777,733276367188,NaN,763,9099,55,26208,8,281,False
21,275,787322998047,81,0366317317821,269,196,40,84131,6,148,5,False
22,303,885681152344,54,7159689366817,296,6463,40,97668,8,280,5,False
23,205,336334228516,NaN,198,3564,28,41797,8,204,False
24,237,167694091797,NaN,229,3252,29,24133,8,241,False
25,344,347473144531,NaN,335,6605,38,6394,8,148,5,False
26,629,508850097656,59,8747298080474,621,6555,79,15771,7,201,5,False
27,271,977325439453,NaN,262,7914,28,60791,8,205,False
28,312,340270996094,41,7598463840783,303,6179,34,8092,8,226,False
29,308,773376464844,86,4033388490789,300,4462,36,0802,7,152,5,False
30,489,697601318359,NaN,481,9008,61,80725,7,235,False
