Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,410,873260498047,145,00872477591,402,6694,49,0827,8,114,5,False
2,559,148315429688,NaN,550,8426,66,32089,8,281,False
3,306,884124755859,NaN,299,3748,39,86696,8,224,False
4,268,109497070313,33,9002688484266,261,3195,38,48587,7,252,False
5,491,649139404297,NaN,481,7724,48,77847,8,191,5,False
6,1255,06604003906,NaN,1229,002,47,15265,8,280,5,False
7,235,535995483398,NaN,227,6661,28,92859,7,220,False
8,309,785125732422,NaN,301,406,35,97101,8,239,5,False
9,373,697021484375,NaN,365,0422,42,1781,7,178,5,False
10,380,027923583984,NaN,371,7413,44,86057,8,229,5,False
11,529,088989257813,NaN,520,2725,59,01147,8,225,5,False
12,520,227478027344,93,6460400372744,512,7534,68,60461,8,210,False
13,308,580902099609,NaN,301,169,40,63312,6,209,5,False
14,345,656555175781,118,798370671272,337,3614,40,66956,8,213,5,False
15,522,368835449219,NaN,492,794,16,6626,8,281,False
16,431,130096435547,NaN,422,7003,50,14386,7,165,5,False
17,270,063751220703,NaN,262,2981,33,77673,8,261,5,False
18,597,057739257813,NaN,588,7629,70,979,8,236,False
19,344,660583496094,NaN,336,4797,41,12988,8,258,False
20,664,456481933594,116,434158510715,656,77,57385,8,252,5,True
21,447,269317626953,NaN,426,9736,21,0376,8,281,False
22,306,690826416016,NaN,297,7225,33,19727,8,155,False
23,347,129150390625,139,112479355931,338,7633,40,49353,8,271,5,False
24,343,911529541016,NaN,336,1787,43,47424,8,198,False
25,349,516784667969,NaN,340,0363,35,86694,8,253,5,False
26,416,732696533203,NaN,410,127,62,08655,7,159,5,False
27,414,396240234375,139,492422620952,405,4362,45,24963,8,253,5,False
28,637,011169433594,133,990748553723,628,4888,73,74548,7,219,5,False
29,3761,1474609375,NaN,3718,925,88,07886,8,281,False
30,311,792419433594,NaN,304,6996,42,95911,8,252,5,False
